Address,Name,Short,Post
"Abidjan, Ivory Coast",Abidjan,ABJ,Africa/Abidjan
"Abu Dhabi, U.A.E.",Abu Dhabi,AUH,
"Accra, Ghana",Accra,ACC,Africa/Accra
"Acton, U.S.A.",Acton,BOS,
"Adak, U.S.A.",Adak,ADK,America/Adak
"Adamstown, Pitcairn Islands",Adamstown,,
"Addis Ababa, Ethiopia",Addis Ababa,ADD,Africa/Addis_Ababa
"Adelaide, Australia",Adelaide,ADL,Australia/Adelaide
"Aden, Yemen",Aden,ADE,Asia/Aden
"Albuquerque, U.S.A.",Albuquerque,ABQ,
"Alexandria, Egypt",Alexandria,ALY,Africa/Cairo
"Algiers, Algeria",Algiers,ALG,Africa/Algiers
"Alofi, Niue",Alofi,HUE,Pacific/Niue
"Amman, Jordan",Amman,AMM,Asia/Amman
"Amsterdam, Netherlands",Amsterdam,AMS,Europe/Amsterdam
"Amundsen-Scott Station, Antarctica",Amundsen-Scott Station,NZSP,
"Anadyr, Russia",Anadyr,DYR,Asia/Anadyr
"Anchorage, U.S.A.",Anchorage,ANC,America/Anchorage
"Andorra la Vella, Andorra",Andorra la Vella,ALV,Europe/Andorra
"Ankara, Turkey",Ankara,ANK,
"Antananarivo, Madagascar",Antananarivo,TNR,Indian/Antananarivo
"Antwerp, Belgium",Antwerp,ANR,
"Apia, Samoa",Apia,FGI,Pacific/Apia
"Aqtobe, Kazakhstan",Aqtobe,AKX,Asia/Aqtobe
"Araguaina, Brazil",Araguaina,AUX,America/Araguaina
"Ashgabat, Turkmenistan",Ashgabat,ASB,Asia/Ashgabat
"Asmera, Eritrea",Asmera,ASM,
"Astana, Kazakhstan",Astana,TSE,
"Asunción, Paraguay",Asunción,ASU,America/Asuncion
"Athens, Greece",Athens,ATH,Europe/Athens
"Atikokan, Canada",Atikokan,YIB,America/Atikokan
"Atlanta, U.S.A.",Atlanta,ATL,
"Atyrau, Kazakhstan",Atyrau,GUW,
"Aukland, New Zealand",Aukland,AKL,
"Austin, U.S.A.",Austin,AUS,
"Baghdad, Iraq",Baghdad,,
"Baku, Azerbaijan",Baku,,
"Baltimore, U.S.A.",Baltimore,,
"Bamako, Mali",Bamako,,
"Bandar Seri Begawan, Brunei",Bandar Seri Begawan,,
"Bangkok, Thailand",Bangkok,BKK,Asia/Bangkok
"Bangui, Central African Republic",Bangui,,
"Banjul, Gambia",Banjul,,
"Bantam Villiage, Cocos (Keeling) Islands",Bantam Villiage,,
"Barcelona, Spain",Barcelona,,
"Bari, Italy",Bari,,
"Basse-Terre, Guadeloupe",Basse-Terre,,
"Basseterre, Saint Kitts and Nevis",Basseterre,,
"Beijing, China",Beijing,,
"Beirut, Lebanon",Beirut,,
"Belem, Brazil",Belem,,
"Belgrade, Serbia",Belgrade,,
"Belize City, Belize",Belize City,,
"Benicia, U.S.A.",Benicia,,
"Berkeley, U.S.A.",Berkeley,,
"Berkeley Heights, U.S.A.",Berkeley Heights,,
"Berlin, Germany",Berlin,,
"Bern, Switzerland",Bern,,
"Beulah, U.S.A.",Beulah,,
"Bishkek, Kyrgyzstan",Bishkek,,
"Bissau, Guinea-Bissau",Bissau,,
"Blacksburg, U.S.A.",Blacksburg,,
"Blanc-Sablon, Canada",Blanc-Sablon,,
"Blantyre, Malawi",Blantyre,,
"Boa Vista, Brazil",Boa Vista,,
"Bogotá, Colombia",Bogotá,,
"Boise, U.S.A.",Boise,,
"Bologna, Italy",Bologna,,
"Boston, U.S.A.",Boston,,
"Brasília, Brazil",Brasília,,
"Bratislava, Slovakia",Bratislava,,
"Brazzaville, Congo",Brazzaville,,
"Bridgetown, Barbados",Bridgetown,,
"Brisbane, Australia",Brisbane,,
"Broken Hill, Austrialia",Broken Hill,,
"Brussels, Belgium",Brussels,,
"Bucharest, Romania",Bucharest,,
"Budapest, Hungary",Budapest,,
"Buenos Aires, Argentina",Buenos Aires,,
"Bujumbura, Burundi",Bujumbura,,
"Burlingame, U.S.A.",Burlingame,,
"Cairo, Egypt",Cairo,,
"Calgary, Canada",Calgary,,
"Cambridge Bay, Canada",Cambridge Bay,,
"Campo Grande, Brazil",Campo Grande,,
"Canary Islands, Spain",Canary Islands,,
"Canberra, Australia",Canberra,,
"Cancun, Mexico",Cancun,,
"Canton, China",Canton,,
"Cape Town, South Africa",Cape Town,,
"Caracas, Venezuela",Caracas,,
"Cardiff, Wales",Cardiff,,
"Casey Station, Antarctica",Casey Station,,
"Castries, Saint Lucia",Castries,,
"Catamarca, Argentina",Catamarca,,
"Catanzaro, Italy",Catanzaro,,
"Cayenne, French Guiana",Cayenne,,
"Center, U.S.A.",Center,,
"Ceuta, Spain",Ceuta,,
"Charlotte, U.S.A.",Charlotte,,
"Charlotte Amalie, U.S. Virgin Islands",Charlotte Amalie,,
"Chengdu, China",Chengdu,,
"Chennai, India",Chennai,,
"Chiang Mai, Thailand",Chiang Mai,,
"Chicago, U.S.A.",Chicago,,
"Chihuahua, Mexico",Chihuahua,,
"Chisinau, Moldova",Chisinau,,
"Chita, Russia",Chita,,
"Choibalsan, Mongolia",Choibalsan,,
"Chongqing, China",Chongqing,,
"Christiansted, U.S. Virgin Islands",Christiansted,,
"Chuuk, Micronesia",Chuuk,,
"Cleveland, U.S.A.",Cleveland,,
"Cockburn Town, Turks and Caicos Islands",Cockburn Town,,
"Colombo, Sri Lanka",Colombo,,
"Columbus, U.S.A.",Columbus,,
"Conakry, Guinea",Conakry,,
"Copenhagen, Denmark",Copenhagen,,
"Cordoba, Argentina",Cordoba,,
"Cork, Ireland",Cork,,
"Creston, Canada",Creston,,
"Crotone, Italy",Crotone,,
"Cuiaba, Brazil",Cuiaba,,
"Cupertino, U.S.A.",Cupertino,,
"Currie, Australia",Currie,,
"Dakar, Senegal",Dakar,,
"Dalian, China",Dalian,,
"Dallas, U.S.A.",Dallas,,
"Daly City, U.S.A.",Daly City,,
"Damascus, Syria",Damascus,,
"Danmarkshavn, Greenland",Danmarkshavn,,
"Dar es Salaam, Tanzania",Dar es Salaam,,
"Darwin, Australia",Darwin,,
"Davis Station, Antarctica",Davis Station,,
"Dawson City, Canada",Dawson City,,
"Dawson Creek, Canada",Dawson Creek,,
"Decatur, U.S.A.",Decatur,,
"Denver, U.S.A.",Denver,,
"Detroit, U.S.A.",Detroit,,
"Dhaka, Bangladesh",Dhaka,,
"Diego Garcia, British Indian Ocean Territory",Diego Garcia,,
"Dili, East Timor",Dili,,
"Djibouti, Djibouti",Djibouti,,
"Doha, Qatar",Doha,,
"Douala, Cameroon",Douala,,
"Douglas, Isle of Man",Douglas,,
"Dubai, U.A.E.",Dubai,,
"Dublin, Ireland",Dublin,,
"Dumont-D’Urville Station, Antarctica",Dumont-D’Urville Station,,
"Dushanbe, Tajikistan",Dushanbe,,
"Easter Island, Chile",Easter Island,,
"Edinburgh, Scotland",Edinburgh,,
"Edmonton, Canada",Edmonton,,
"Efate, Vanuatu",Efate,,
"Eirunepe, Brazil",Eirunepe,,
"El Paso, U.S.A.",El Paso,,
"El-Aaiun, Western Sahara",El-Aaiun,,
"Eucla, Australia",Eucla,,
"Fale, Tokelau",Fale,,
"Fernando de Noronha, Brazil",Fernando de Noronha,,
"Florence, Italy",Florence,,
"Fort St. John, Canada",Fort St. John,,
"Fort-de-France, Martinique",Fort-de-France,,
"Fortaleza, Brazil",Fortaleza,,
"Foster City, U.S.A.",Foster City,,
"Frankfurt, Germany",Frankfurt,,
"Freetown, Sierra Leone",Freetown,,
"Fremont, U.S.A.",Fremont,,
"Funchal, Madeira",Funchal,,
"Gaborone, Botswana",Gaborone,,
"Galápagos Islands, Ecuador",Galápagos Islands,,
"Gaza, Palestinian Territories",Gaza,,
"Geneva, Switzerland",Geneva,,
"Genoa, Italy",Genoa,,
"George Town, Cayman Islands",George Town,,
"Georgetown, Guyana",Georgetown,,
"Gibraltar, Gibraltar",Gibraltar,,
"Glace Bay, Canada",Glace Bay,,
"Gothenburg, Sweden",Gothenburg,,
"Grytviken, South Georgia",Grytviken,,
"Guam, Guam",Guam,,
"Guatemala City, Guatemala",Guatemala City,,
"Guayaquil, Ecuador",Guayaquil,,
"Gustavia, Saint Barthelemy",Gustavia,,
"Halifax, Canada",Halifax,,
"Hamburg, Germany",Hamburg,,
"Hamilton, Bermuda",Hamilton,,
"Hanoi, Vietnam",Hanoi,,
"Happy Valley-Goose Bay, Canada",Happy Valley-Goose Bay,,
"Harare, Zimbabwe",Harare,,
"Harbin, China",Harbin,,
"Havana, Cuba",Havana,,
"Healdsburg, U.S.A.",Healdsburg,,
"Hebron, Palestinian Territories",Hebron,,
"Hefei, China",Hefei,,
"Helsinki, Finland",Helsinki,,
"Heraklion, Greece",Heraklion,,
"Hermosillo, Mexico",Hermosillo,,
"Ho Chi Minh City, Vietnam",Ho Chi Minh City,,
"Hobart, Australia",Hobart,,
"Hong Kong, Hong Kong",Hong Kong,,
"Honiara, Solomon Islands",Honiara,,
"Honolulu, U.S.A.",Honolulu,,
"Houston, U.S.A.",Houston,,
"Hovd, Mongolia",Hovd,,
"Indianapolis, U.S.A.",Indianapolis,,
"Inuvik, Canada",Inuvik,,
"Iqaluit, Canada",Iqaluit,,
"Irkutsk, Russia",Irkutsk,,
"Islamabad, Pakistan",Islamabad,,
"Istanbul, Turkey",Istanbul,,
"Ittoqqortoormiit, Greenland",Ittoqqortoormiit,,
"Jakarta, Indonesia",Jakarta,,
"Jamestown, Saint Helena, Ascension and Tristan da Cunha",Jamestown,,
"Jayapura, Indonesia",Jayapura,,
Jerusalem,Jerusalem,,
"Johannesburg, South Africa",Johannesburg,,
"Juba, South Sudan",Juba,,
"Juneau, U.S.A.",Juneau,,
"Kabul, Afghanistan",Kabul,,
"Kaliningrad, Russia",Kaliningrad,,
"Kampala, Uganda",Kampala,,
"Kanton Island, Kiribati",Kanton Island,,
"Karachi, Pakistan",Karachi,,
"Kashgar, China",Kashgar,,
"Kathmandu, Nepal",Kathmandu,,
"Khartoum, Sudan",Khartoum,,
"Kiev, Ukraine",Kiev,,
"Kigali, Rwanda",Kigali,,
"Kingston, Jamaica",Kingston,,
"Kingston, Norfolk Island",Kingston,,
"Kingstown, Saint Vincent and the Grenadines",Kingstown,,
"Kinshasa, Democratic Republic of the Congo",Kinshasa,,
"Kiritimati, Kiribati",Kiritimati,,
"Knox, U.S.A.",Knox,,
"Knoxville, U.S.A.",Knoxville,,
"Kolkata, India",Kolkata,,
"Koror, Palau",Koror,,
"Kosrae, Micronesia",Kosrae,,
"Kraków, Poland",Kraków,,
"Kralendijk, Bonaire",Kralendijk,,
"Krasnoyarsk, Russia",Krasnoyarsk,,
"Kuala Lumpur, Malaysia",Kuala Lumpur,,
"Kuching, Malaysia",Kuching,,
"Kuwait, Kuwait",Kuwait,,
"Kwajalein Atoll, Marshall Islands",Kwajalein Atoll,,
"Kyzylorda, Kazakhstan",Kyzylorda,,
"La Paz, Bolivia",La Paz,,
"La Rioja, Argentina",La Rioja,,
"Lagos, Nigeria",Lagos,,
"Las Vegas, U.S.A.",Las Vegas,,
"Lhasa, China",Lhasa,,
"Libreville, Gabon",Libreville,,
"Lima, Peru",Lima,,
"Linderman Island, Australia",Linderman Island,,
"Lisbon, Portugal",Lisbon,,
"Little Rock, U.S.A.",Little Rock,,
"Ljubljana, Slovenia",Ljubljana,,
"Lomé, Togo",Lomé,,
"London, England",London,LON,Europe/London
"Longyearbyen, Norway",Longyearbyen,,
"Lord Howe Island, Australia",Lord Howe Island,,
"Los Altos, U.S.A.",Los Altos,,
"Los Angeles, U.S.A.",Los Angeles,LAX,America/Los_Angeles
"Los Gatos, U.S.A.",Los Gatos,,
"Louisville, U.S.A.",Louisville,,
"Lower Prince’s Quarter, Sint Maarten",Lower Prince’s Quarter,,
"Luanda, Angola",Luanda,,
"Lubumbashi, Democratic Republic of the Congo",Lubumbashi,,
"Lusaka, Zambia",Lusaka,,
"Luxembourg, Luxembourg",Luxembourg,,
"Lyon, France",Lyon,,
"Macau, Macau",Macau,,
"Maceio, Brazil",Maceio,,
"Macquarie Island Station, Antarctica",Macquarie Island Station,,
"Madison, U.S.A.",Madison,,
"Madrid, Spain",Madrid,,
"Magadan, Russia",Magadan,,
"Majuro, Marshall Islands",Majuro,,
"Makassar, Indonesia",Makassar,,
"Malabo, Equatorial Guinea",Malabo,,
"Male, Maldives",Male,,
"Malmö, Sweden",Malmö,,
"Mamoudzou, Mayotte",Mamoudzou,,
"Managua, Nicaragua",Managua,,
"Manama, Bahrain",Manama,,
"Manaus, Brazil",Manaus,,
"Manila, Philippines",Manila,,
"Maputo, Mozambique",Maputo,,
"Marengo, U.S.A.",Marengo,,
"Mariehamn, Åland Islands",Mariehamn,,
"Marigot, Saint Martin",Marigot,,
"Marseille, France",Marseille,,
"Maseru, Lesotho",Maseru,,
"Mata-Utu, Wallis and Futuna",Mata-Utu,,
"Matamoros, Mexico",Matamoros,,
"Mawson Station, Antarctica",Mawson Station,,
"Mazatlán, Mexico",Mazatlán,,
"Mbabane, Swaziland",Mbabane,,
"McMurdo Station, Antarctica",McMurdo Station,,
"Mecca, Saudi Arabia",Mecca,,
"Melbourne, Australia",Melbourne,,
"Memphis, U.S.A.",Memphis,,
"Mendoza, Argentina",Mendoza,,
"Menlo Park, U.S.A.",Menlo Park,,
"Menominee, U.S.A.",Menominee,,
"Mérida, Mexico",Mérida,,
"Messina, Italy",Messina,,
"Metlakatla, U.S.A.",Metlakatla,,
"Mexico City, Mexico",Mexico City,,
"Miami, U.S.A.",Miami,,
"Milan, Italy",Milan,,
"Milbank, U.S.A.",Milbank,,
"Milwaukee, U.S.A.",Milwaukee,,
"Minneapolis, U.S.A.",Minneapolis,,
"Minsk, Belarus",Minsk,,
"Mogadishu, Somalia",Mogadishu,,
"Monaco, Monaco",Monaco,,
"Moncton, Canada",Moncton,,
"Monrovia, Liberia",Monrovia,,
"Monterey, U.S.A.",Monterey,,
"Monterrey, Mexico",Monterrey,,
"Montevideo, Uruguay",Montevideo,,
"Monticello, U.S.A.",Monticello,,
"Montpelier, U.S.A.",Montpelier,,
"Montreal, Canada",Montreal,,
"Moroni, Comoros",Moroni,,
"Moscow, Russia",Moscow,,
"Mountain View, U.S.A.",Mountain View,,
"Mumbai, India",Mumbai,,
"Munich, Germany",Munich,,
"Muscat, Oman",Muscat,,
"Nairobi, Kenya",Nairobi,,
"Nanjing, China",Nanjing,,
"Napa, U.S.A.",Napa,,
"Naples, Italy",Naples,,
"Nassau, Bahamas",Nassau,,
"Naters, Switzerland",Naters,,
"Nauru, Micronesia",Nauru,,
"Ndjamena, Chad",Ndjamena,,
"New Delhi, India",New Delhi,,
"New Orleans, U.S.A.",New Orleans,,
"New Salem, U.S.A.",New Salem,,
"Niamey, Niger",Niamey,,
"Nicosia, Cyprus",Nicosia,,
"Nipigon, Cyprus",Nipigon,,
"Nome, U.S.A.",Nome,,
"Nouakchott, Mauritania",Nouakchott,,
"Noumea, New Caledonia",Noumea,,
"Novato, U.S.A.",Novato,,
"Novokuznetsk, Russia",Novokuznetsk,,
"Novosibirsk, Russia",Novosibirsk,,
"Nuku’alofa, Tonga",Nuku’alofa,,
"Nuuk, Greenland",Nuuk,,
"Oakland, U.S.A.",Oakland,,
"Ojinaga, Mexico",Ojinaga,,
"Oklahoma City, U.S.A.",Oklahoma City,,
"Omaha, U.S.A.",Omaha,,
"Omsk, Russia",Omsk,,
"Oral, Kazakhstan",Oral,,
"Oranjestad, Aruba",Oranjestad,,
"Osaka, Japan",Osaka,,
"Oslo, Norway",Oslo,,
"Ottawa, Canada",Ottawa,,
"Ouagadougou, Burkina Faso",Ouagadougou,,
"Pacifica, U.S.A.",Pacifica,,
"Pago Pago, American Samoa",Pago Pago,,
"Palermo, Italy",Palermo,,
"Palmer Station, Antarctica",Palmer Station,,
"Palo Alto, U.S.A.",Palo Alto,,
"Panama City, Panama",Panama City,,
"Pangnirtung, Canada",Pangnirtung,,
"Paramaribo, Surinam",Paramaribo,,
"Paris, France",Paris,,
"Perm, Russia",Perm,,
"Perth, Australia",Perth,,
"Petaluma, U.S.A.",Petaluma,,
"Petersburg, U.S.A.",Petersburg,,
"Petropavlovsk-Kamchatsky, Russia",Petropavlovsk-Kamchatsky,,
"Philadelphia, U.S.A.",Philadelphia,,
"Phnom Penh, Cambodia",Phnom Penh,,
"Phoenix, U.S.A.",Phoenix,,
"Pittsburgh, U.S.A.",Pittsburgh,,
"Pleasanton, U.S.A.",Pleasanton,,
"Plymouth, Montserrat",Plymouth,,
"Podgorica, Montenegro",Podgorica,,
"Pohnpei, Micronesia",Pohnpei,,
"Ponta Delgada, Portugal",Ponta Delgada,,
"Pontianak, Indonesia",Pontianak,,
"Port Louis, Mauritius",Port Louis,,
"Port Moresby, Papua New Guinea",Port Moresby,,
"Port-au-Prince, Haiti",Port-au-Prince,,
"Port-aux-Français, French Southern & Antarctic Lands",Port-aux-Français,,
"Portland, U.S.A.",Portland,,
"Porto Velho, Brazil",Porto Velho,,
"Porto-Novo, Benin",Porto-Novo,,
"Prague, Czech Republic",Prague,,
"Praia, Cape Verde",Praia,,
"Pristina, Kosovo",Pristina,,
"Puerto Vallarta, Mexico",Puerto Vallarta,,
"Pyongyang, North Korea",Pyongyang,,
"Qingdao, China",Qingdao,,
"Quebec City, Canada",Quebec City,,
"Quito, Ecuador",Quito,,
"Rabat, Morocco",Rabat,,
"Rainy River, Canada",Rainy River,,
"Rangoon, Burma",Rangoon,,
"Rankin Inlet, Canada",Rankin Inlet,,
"Rarotonga, Cook Islands",Rarotonga,,
"Recife, Brazil",Recife,,
"Redwood City, U.S.A.",Redwood City,,
"Regina, Canada",Regina,,
"Resolute, Canada",Resolute,,
"Reykjavik, Iceland",Reykjavik,,
"Riga, Latvia",Riga,,
"Rikitea, French Polynesia",Rikitea,,
"Rio Branco, Brazil",Rio Branco,,
"Rio de Jeneiro, Brazil",Rio de Jeneiro,,
"Rio Gallegos, Argentina",Rio Gallegos,,
"Riyadh, Saudi Arabia",Riyadh,,
"Road Town, British Virgin Islands",Road Town,,
"Rome, Italy",Rome,,
"Roseau, Dominica",Roseau,,
"Rather Station, Antarctica",Rather Station,,
"Saint Peter Port, Guernsey",Saint Peter Port,,
"Saint-Denis, Reunion Island",Saint-Denis,,
"Saint-Pierre, Saint Pierre and Miquelon",Saint-Pierre,,
"Saipan, Northern Mariana Islands",Saipan,,
"Salt Lake City, U.S.A.",Salt Lake City,,
"Salta, Argentina",Salta,,
"Salvador, Brazil",Salvador,,
"Salzburg, Austria",Salzburg,,
"Samara, Russia",Samara,,
"Samarkand, Uzbekistan",Samarkand,,
"San Antonia, U.S.A.",San Antonia,,
"San Bruno, U.S.A.",San Bruno,,
"San Carlos, U.S.A.",San Carlos,,
"San Diego, U.S.A.",San Diego,,
"San Francisco, U.S.A.",San Francisco,,
"San Jose, U.S.A.",San Jose,,
"San José, Costa Rica",San José,,
"San Juan, Argentina",San Juan,,
"San Juan, Puerto Rico",San Juan,,
"San Leandro, U.S.A.",San Leandro,,
"San Luis, Argentina",San Luis,,
"San Marino, Italy",San Marino,,
"San Mateo, U.S.A.",San Mateo,,
"San Pablo, U.S.A.",San Pablo,,
"San Rafael, U.S.A.",San Rafael,,
"San Ramon, U.S.A.",San Ramon,,
"San Salvador, El Salvador",San Salvador,,
"San Salvador de Jujuy, Argentina",San Salvador de Jujuy,,
"Sanaa, Yemen",Sanaa,,
"Santa Clara, U.S.A.",Santa Clara,,
"Santa Cruz, U.S.A.",Santa Cruz,,
"Santa Isabel, Mexico",Santa Isabel,,
"Santarém, Brazil",Santarém,,
"Santiago, Chile",Santiago,,
"Santo Domingo, Dominican Republic",Santo Domingo,,
"São Paulo, Brazil",São Paulo,,
"São Tomé, São Tomé and Príncipe",São Tomé,,
"Sarajevo, Bosnia and Herzegovina",Sarajevo,,
"Saskatoon, Canada",Saskatoon,,
"Seattle, U.S.A.",Seattle,,
"Seoul, South Korea",Seoul,,
"Shanghai, China",Shanghai,,
"Shenyang, China",Shenyang,,
"Shenzhen, China",Shenzhen,,
"Shiprock, U.S.A.",Shiprock,,
"Singapore, Singapore",Singapore,,
"Sioux Falls, U.S.A.",Sioux Falls,,
"Sitka, U.S.A.",Sitka,,
"Skopje, Macedonia",Skopje,,
"Sofia, Bulgaria",Sofia,,
"St. Georges, Grenada",St. Georges,,
"St. Helier, Bailiwick of Jersey",St. Helier,,
"St. John’s, Antigua and Barbuda",St. John’s,,
"St. John’s, Canada",St. John’s,,
"St. Louis, U.S.A.",St. Louis,,
"St. Petersburg, Russia",St. Petersburg,,
"Stanley, Falkland Islands",Stanley,,
"Stockholm, Sweden",Stockholm,,
"Sunnyvale, U.S.A.",Sunnyvale,,
"Suva, Fiji",Suva,,
"Swift Current, Canada",Swift Current,,
"Sydney, Australia",Sydney,,
"Showa Station, Antarctica",Showa Station,,
"Tahiti, French Polynesia",Tahiti,,
"Taiohae, French Polynesia",Taiohae,,
Taipei,Taipei,,
"Tallinn, Estonia",Tallinn,,
"Tarawa, Kiribati",Tarawa,,
"Tashkent, Uzbekistan",Tashkent,,
"Tbilisi, Georgia",Tbilisi,,
"Tegucigalpa, Honduras",Tegucigalpa,,
"Tehran, Iran",Tehran,,
"Tel Aviv, Isreal",Tel Aviv,,
"Tell City, U.S.A.",Tell City,,
"The Settlement, Christmas Island",The Settlement,,
"The Valley, Anguilla",The Valley,,
"Thessaloniki, Greece",Thessaloniki,,
"Thimphu, Bhutan",Thimphu,,
"Thule, Greenland",Thule,,
"Thunder Bay, Canada",Thunder Bay,,
"Tianjin, China",Tianjin,,
"Tijuana, Mexico",Tijuana,,
"Tirana, Albania",Tirana,,
"Tokyo, Japan",Tokyo,TOK,Asia/Tokyo
"Toronto, Canada",Toronto,,
"Tórshavn, Faroe Islands",Tórshavn,,
"Tréhet, France",Tréhet,,
"Tripoli, Libya",Tripoli,,
"Tucaman, Argentina",Tucaman,,
"Tunis, Tunisia",Tunis,,
"Turin, Italy",Turin,,
"Ulaanbaatar, Mongolia",Ulaanbaatar,,
"Urumqi, China",Urumqi,,
"Ushuaia, Argentina",Ushuaia,,
"Vaduz, Liechtenstein",Vaduz,,
"Vallejo, U.S.A.",Vallejo,,
"Valletta, Malta",Valletta,,
"Vancouver, Canada",Vancouver,,
Vatican City,Vatican City,,
"Verona, Italy",Verona,,
"Vevay, U.S.A.",Vevay,,
"Victoria, Seychelles",Victoria,,
"Vienna, Austria",Vienna,,
"Vientiane, Laos",Vientiane,,
"Vilnius, Lithuania",Vilnius,,
"Vincennes, U.S.A.",Vincennes,,
"Vladivostok, Russia",Vladivostok,,
"Vostok Station, Antarctica",Vostok Station,,
"Waitangi, New Zealand",Waitangi,,
"Walnut Creek, U.S.A.",Walnut Creek,,
"Warsaw, Poland",Warsaw,,
"Washington, D.C., U.S.A.",Washington,,
"Welington, New Zealand",Welington,,
"Whitehorse, Canada",Whitehorse,,
"Willemstad, Curacao",Willemstad,,
"Winamac, U.S.A.",Winamac,,
"Windhoek, Namibia",Windhoek,,
"Winnipeg, Canada",Winnipeg,,
"Yakutat, U.S.A.",Yakutat,,
"Yakutsk, Russia",Yakutsk,,
"Yamoussoukro, Ivory Coast",Yamoussoukro,,
"Yangon, Burma",Yangon,,
"Yaoundé, Cameroon",Yaoundé,,
"Yekaterinburg, Russia",Yekaterinburg,,
"Yellowknife, Canada",Yellowknife,,
"Yerevan, Armenia",Yerevan,,
"Yuzhno-Sakhalinsk, Russia",Yuzhno-Sakhalinsk,,
"Zagreb, Croatia",Zagreb,,
"Zurich, Switzerland",Zurich,,
